amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
3247.0,30307.0,31654.0,2015,08,False,True,Natural Resources and Environment
744.0,21462.0,27408.0,2015,08,False,True,Agriculture
-311.0,-22430.0,-85520.0,2015,08,False,True,Commerce and Housing Credit
8496.0,79189.0,81618.0,2015,08,False,True,Transportation
2006.0,19662.0,19681.0,2015,08,False,True,Community and Regional Development
8497.0,108678.0,85676.0,2015,08,False,True,"Education, Training, Employment, and Social Services"
46147.0,444180.0,371707.0,2015,08,False,True,Health
24221.0,501114.0,467386.0,2015,08,False,True,Medicare
27123.0,473313.0,486223.0,2015,08,False,True,Income Security
74687.0,813180.0,779016.0,2015,08,False,True,Social Security
7295.0,145688.0,142422.0,2015,08,False,True,Veterans Benefits and Services
5231.0,48933.0,46381.0,2015,08,False,True,Administration of Justice
2474.0,13761.0,19630.0,2015,08,False,True,General Government
25366.0,234680.0,239753.0,2015,08,False,True,Net Interest
-6087.0,-109828.0,-81295.0,2015,08,False,True,Undistributed Offsetting Receipts
275257.0,3413210.0,3258288.0,2015,08,False,True,Total
,,,2015,08,False,True,Note: Details may not add to totals due to rounding.
64420.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,529960.0,0.0,20hl,nt,False,False,Deficit
109130.0,1276630.0,1143476.0,2015,07,True,False,Individual Income Taxes
10615.0,266068.0,243298.0,2015,07,True,False,Corporation Income Taxes
74715.0,845762.0,809466.0,2015,07,True,False,Social Insurance and Retirement Receipts
3498.0,45583.0,49011.0,2015,07,True,False,Social Insurance and Retirement Receipts
349.0,3029.0,2834.0,2015,07,True,False,Social Insurance and Retirement Receipts
6879.0,66966.0,65940.0,2015,07,True,False,Excise Taxes
1311.0,16422.0,16163.0,2015,07,True,False,Estate and Gift Taxes
3602.0,29936.0,28035.0,2015,07,True,False,Customs Duties
15395.0,122018.0,116656.0,2015,07,True,False,Miscellaneous Receipts
225493.0,2672414.0,2474878.0,2015,07,True,False,Total
51468.0,495853.0,500384.0,2015,07,False,True,National Defense
2622.0,39145.0,38090.0,2015,07,False,True,International Affairs
2635.0,24063.0,23244.0,2015,07,False,True,"General Science, Space, and Technology"
778.0,6140.0,3965.0,2015,07,False,True,Energy
2868.0,27059.0,27789.0,2015,07,False,True,Natural Resources and Environment
522.0,20719.0,25535.0,2015,07,False,True,Agriculture
616.0,-22119.0,-87350.0,2015,07,False,True,Commerce and Housing Credit
8851.0,70693.0,73593.0,2015,07,False,True,Transportation
1753.0,17656.0,17626.0,2015,07,False,True,Community and Regional Development
15939.0,100182.0,76815.0,2015,07,False,True,"Education, Training, Employment, and Social Services"
46671.0,398033.0,338328.0,2015,07,False,True,Health
73842.0,476892.0,421026.0,2015,07,False,True,Medicare
44727.0,446190.0,443709.0,2015,07,False,True,Income Security
74551.0,738492.0,707378.0,2015,07,False,True,Social Security
20372.0,138394.0,123262.0,2015,07,False,True,Veterans Benefits and Services
4390.0,43702.0,42330.0,2015,07,False,True,Administration of Justice
919.0,11286.0,17974.0,2015,07,False,True,General Government
27481.0,209314.0,215822.0,2015,07,False,True,Net Interest
-6325.0,-103741.0,-74157.0,2015,07,False,True,Undistributed Offsetting Receipts
374680.0,3137953.0,2935363.0,2015,07,False,True,Total
,,,2015,07,False,True,Note: Details may not add to totals due to rounding.
149187.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,465539.0,0.0,20hl,nt,False,False,Deficit
152827.0,1167500.0,1045759.0,2015,06,True,False,Individual Income Taxes
72768.0,255453.0,235018.0,2015,06,True,False,Corporation Income Taxes
95463.0,771048.0,737295.0,2015,06,True,False,Social Insurance and Retirement Receipts
409.0,42084.0,44613.0,2015,06,True,False,Social Insurance and Retirement Receipts
289.0,2680.0,2572.0,2015,06,True,False,Social Insurance and Retirement Receipts
7100.0,60087.0,58012.0,2015,06,True,False,Excise Taxes
1254.0,15112.0,13935.0,2015,06,True,False,Estate andGift Taxes
2941.0,26334.0,24725.0,2015,06,True,False,Customs Duties
9882.0,106622.0,98457.0,2015,06,True,False,Miscellaneous Receipts
342933.0,2446920.0,2260385.0,2015,06,True,False,Total
49317.0,444385.0,452244.0,2015,06,False,True,National Defense
3503.0,36523.0,34682.0,2015,06,False,True,International Affairs
2886.0,21427.0,20606.0,2015,06,False,True,"General Science, Space, and Technology"
897.0,5363.0,3311.0,2015,06,False,True,Energy
3140.0,24191.0,25220.0,2015,06,False,True,Natural Resources and Environment
428.0,20197.0,24242.0,2015,06,False,True,Agriculture
5026.0,-24418.0,-87421.0,2015,06,False,True,Commerce and Housing Credit
7915.0,61841.0,64874.0,2015,06,False,True,Transportation
1643.0,15903.0,15829.0,2015,06,False,True,Community and Regional Development
16819.0,84242.0,70369.0,2015,06,False,True,"Education, Training, Employment, and Social Services"
42084.0,351362.0,296668.0,2015,06,False,True,Health
43895.0,403051.0,373107.0,2015,06,False,True,Medicare
30958.0,400166.0,407323.0,2015,06,False,True,Income Security
78874.0,663942.0,636182.0,2015,06,False,True,Social Security
12938.0,118022.0,111283.0,2015,06,False,True,Veterans Benefits and Services
4413.0,39311.0,38187.0,2015,06,False,True,Administration of Justice
812.0,10375.0,15883.0,2015,06,False,True,General Government
22348.0,181833.0,191761.0,2015,06,False,True,Net Interest
-36739.0,-97415.0,-68102.0,2015,06,False,True,Undistributed Offsetting Receipts
291157.0,2760301.0,2626250.0,2015,06,False,True,Total
,,,2015,06,False,True,Note: Details may not add to totals due to rounding.
-51776.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,313381.0,0.0,20hl,nt,False,False,Deficit
85035.0,1014673.0,903024.0,2015,05,True,False,Individual Income Taxes
7340.0,182685.0,164840.0,2015,05,True,False,Corporation Income Taxes
78965.0,675585.0,648743.0,2015,05,True,False,Social Insurance and Retirement Receipts
15204.0,41675.0,43231.0,2015,05,True,False,Social Insurance and Retirement Receipts
286.0,2391.0,2294.0,2015,05,True,False,Social Insurance and Retirement Receipts
7403.0,52987.0,51563.0,2015,05,True,False,Excise Taxes
1703.0,13858.0,12582.0,2015,05,True,False,Estate and Gift Taxes
2548.0,23393.0,22125.0,2015,05,True,False,Customs Duties
13903.0,96740.0,88337.0,2015,05,True,False,Miscellaneous Receipts
212386.0,2103987.0,1936739.0,2015,05,True,False,Total
48237.0,395067.0,408574.0,2015,05,False,True,National Defense
2331.0,33021.0,30424.0,2015,05,False,True,International Affairs
2108.0,18541.0,18195.0,2015,05,False,True,"General Science, Space, and Technology"
244.0,4466.0,2008.0,2015,05,False,True,Energy
2480.0,21051.0,22478.0,2015,05,False,True,Natural Resources and Environment
185.0,19769.0,23120.0,2015,05,False,True,Agriculture
-12873.0,-29444.0,-74084.0,2015,05,False,True,Commerce and Housing Credit
7087.0,53926.0,56271.0,2015,05,False,True,Transportation
1451.0,14260.0,14081.0,2015,05,False,True,Community and Regional Development
7230.0,67424.0,57101.0,2015,05,False,True,"Education, Training, Employment, and Social Services"
37662.0,309278.0,260133.0,2015,05,False,True,Health
45906.0,359156.0,349467.0,2015,05,False,True,Medicare
37274.0,369208.0,384104.0,2015,05,False,True,Income Security
74490.0,585068.0,560142.0,2015,05,False,True,Social Security
12946.0,105084.0,105021.0,2015,05,False,True,Veterans Benefits and Services
4015.0,34898.0,33710.0,2015,05,False,True,Administration of Justice
2143.0,9562.0,14335.0,2015,05,False,True,General Government
27535.0,159485.0,169136.0,2015,05,False,True,Net Interest
-5679.0,-60677.0,-61094.0,2015,05,False,True,Undistributed Offsetting Receipts
294771.0,2469144.0,2373122.0,2015,05,False,True,Total
,,,2015,05,False,True,Note: Details may not add to totals due to rounding.
